patient_AMKA,first_name,last_name,phone_number,email,relationship_to_patient
93064691267,Emmanouil,Oikonomou,6928753355,\N,Spouse
48747811282,Giannis,Christodoulou,6994750557,\N,Other
48747811282,Nikoletta,Papageorgiou,6991743124,\N,Spouse
81157509272,Olympia,Bakogianni,6908855069,\N,Sibling
81157509272,Athanasios,Vasileiou,6910104279,\N,Child
01818896991,Markos,Petridis,6901642624,\N,Sibling
21354692239,Stefanos,Chronopoulos,6981079516,\N,Spouse
02241756168,Aristeidis,Spanos,6981791578,\N,Spouse
92219114299,Theodora,Spanou,6920120174,\N,Parent
92219114299,Grigoris,Karamanlis,6946988866,\N,Sibling
27291367591,Christina,Dimitriou,6956823428,\N,Sibling
27291367591,Maria,Mavridi,6924626713,\N,Spouse
38670776042,Eleftherios,Archontopoulos,6903305109,\N,Other
38670776042,Aggeliki,Chatzidaki,6947254265,\N,Sibling
39276398523,Petros,Tsakalidis,6973189959,\N,Spouse
35347050707,Panagiotis,Christodoulou,6980595194,\N,Friend
35347050707,Leonidas,Vasileiou,6922595513,\N,Spouse
54196351109,Michalis,Chatzidakis,6934267870,\N,Other
81718993547,Sofia,Vlachopoulou,6988623065,\N,Friend
38180364851,Charalampos,Alexiou,6973214999,\N,Child
04347433442,Ioanna,Chronopoulou,6942072239,\N,Sibling
04347433442,Dionysios,Mavridis,6917618989,\N,Friend
76775138771,Evangelos,Spanos,6958681734,\N,Parent
76775138771,Ariadni,Vlachopoulou,6979640315,\N,Child
91853620544,Nikoletta,Bakogianni,6915378420,\N,Other
35440789677,Panagiotis,Konstantinidis,6924617578,\N,Other
35440789677,Athanasios,Dimitriou,6904866718,\N,Child
70498671101,Margarita,Triantafyllou,6989974903,\N,Other
70498671101,Georgia,Panagiotidi,6981779989,\N,Friend
81130186432,Stefanos,Bakogiannis,6943256740,\N,Other
23115411190,Aristeidis,Eleftheriadis,6935384256,\N,Parent
23115411190,Pavlos,Dimitriou,6959994426,\N,Other
26829508149,Dimitra,Papadimitriou,6980507507,\N,Other
26829508149,Katerina,Diamanti,6973544252,\N,Sibling
44496493046,Petros,Kalligas,6954609121,\N,Parent
54539601609,Christina,Mavridi,6950394398,\N,Friend
54539601609,Athanasios,Chatzidakis,6978952361,\N,Child
54959578127,Aggeliki,Mavridi,6976176404,\N,Parent
54959578127,Thomas,Lazaridis,6951128638,\N,Parent
28920745952,Georgios,Eleftheriadis,6983969215,\N,Parent
28920745952,Georgios,Antoniou,6907721434,\N,Other
53715573105,Petros,Dimitriou,6929734148,\N,Sibling
53715573105,Spyros,Bakogiannis,6959082680,\N,Parent
87121894523,Maria,Stamatiou,6923088806,\N,Parent
87121894523,Aikaterini,Nikolaidi,6975024130,\N,Parent
58755850959,Sofia,Alexiou,6914204384,\N,Other
58755850959,Dimitris,Athanasiou,6962176434,\N,Friend
16674078869,Stavroula,Diamanti,6978953770,\N,Parent
16674078869,Georgia,Chronopoulou,6931645982,\N,Sibling
47040793651,Markos,Antoniou,6972123008,\N,Sibling
47040793651,Grigoris,Chronopoulos,6959153242,\N,Sibling
80578369030,Maria,Karagianni,6906007461,\N,Sibling
80578369030,Evangelia,Eleftheriadi,6900491744,\N,Spouse
87621577405,Grigoris,Papadimitriou,6972634921,\N,Other
15900713204,Petros,Chronopoulos,6911645767,\N,Other
15900713204,Pinelopi,Petridi,6957666476,\N,Parent
29645521750,Markos,Angelopoulos,6969298738,\N,Child
29645521750,Georgia,Angelopoulou,6906724663,\N,Friend
18393301118,Panagiotis,Vasileiou,6936974578,\N,Spouse
18393301118,Kyriakos,Chronopoulos,6983871355,\N,Child
38958641782,Antonis,Ioannidis,6926851797,\N,Spouse
01027190952,Xanthi,Vasileiou,6962201656,\N,Child
82432625381,Leonidas,Archontopoulos,6974509332,\N,Friend
82432625381,Dionysios,Vlachopoulos,6924404310,\N,Friend
32773765547,Ilias,Christodoulou,6993929427,\N,Other
32773765547,Georgios,Nikolaidis,6950134339,\N,Parent
58247733912,Olympia,Oikonomidi,6911622065,\N,Friend
64364443296,Vasiliki,Papageorgiou,6910933853,\N,Parent
64364443296,Dimitris,Archontopoulos,6963258677,\N,Sibling
47034463324,Despoina,Michailidi,6917696595,\N,Friend
33752296484,Georgios,Panagiotidis,6976604142,\N,Child
81372298210,Kalliopi,Athanasiou,6907695390,\N,Friend
81372298210,Ioannis,Ioannidis,6976790078,\N,Spouse
94836094386,Michalis,Spanos,6972734689,\N,Other
33446661051,Evangelos,Lamprou,6940395186,\N,Friend
44088331838,Spyros,Papanikolaou,6901631852,\N,Parent
31336314098,Ariadni,Christodoulou,6917756900,\N,Other
31336314098,Christos,Diamantis,6917653244,\N,Friend
51547469117,Kalliopi,Stamatiou,6949123216,\N,Other
41832527625,Sofia,Georgiou,6967811678,\N,Child
41832527625,Foteini,Papadopoulou,6925153864,\N,Spouse
20994175304,Dimitra,Kalliga,6946770378,\N,Sibling
20994175304,Anastasios,Archontopoulos,6908307644,\N,Parent
01727279732,Danai,Antoniou,6980199050,\N,Spouse
01727279732,Emmanouil,Spanos,6911747117,\N,Parent
96886312407,Athina,Petridi,6977619524,\N,Friend
96886312407,Nikos,Dimitriou,6970921764,\N,Sibling
80453478277,Dionysios,Papanikolaou,6999335702,\N,Other
80453478277,Maria,Tsoukala,6939866398,\N,Sibling
27398356523,Christos,Sidiropoulos,6963340142,\N,Parent
26362886233,Evangelos,Ioannidis,6995742188,\N,Other
26362886233,Filippos,Antoniou,6938151291,\N,Parent
24642998724,Panagiotis,Oikonomou,6934792305,\N,Child
24642998724,Kalliopi,Papanikolaou,6945310812,\N,Sibling
86243014606,Giannis,Triantafyllou,6914715901,\N,Parent
16004027289,Foteini,Lamprou,6978420014,\N,Parent
16004027289,Athanasios,Mavridis,6946073723,\N,Other
95285994757,Aristeidis,Vlachopoulos,6974105939,\N,Sibling
43903560285,Alexandros,Papadimitriou,6942622644,\N,Parent
59408593565,Georgia,Kalliga,6952512258,\N,Sibling
59408593565,Konstantinos,Georgiou,6975227929,\N,Sibling
23967499902,Sotiris,Papageorgiou,6953851397,\N,Child
14262040852,Foteini,Stamatiou,6938041917,\N,Parent
14262040852,Olympia,Antoniou,6903330854,\N,Sibling
02093137880,Leonidas,Karamanlis,6959034819,\N,Sibling
02093137880,Alexandra,Athanasiou,6935110269,\N,Spouse
89233313514,Christos,Spanos,6914487621,\N,Child
89233313514,Kalliopi,Christodoulou,6942797302,\N,Friend
52023589377,Eirini,Lazaridi,6999194564,\N,Sibling
52023589377,Sotiris,Chatzidakis,6939004152,\N,Sibling
55470189779,Alexandra,Vlachopoulou,6904177073,\N,Sibling
61340799216,Paraskevi,Archontopoulou,6966881557,\N,Parent
61340799216,Paraskevi,Sidiropoulou,6961668940,\N,Friend
95516113395,Ioanna,Karamanli,6986978487,\N,Friend
95516113395,Despoina,Lamprou,6963196305,\N,Spouse
92259164230,Nikos,Oikonomou,6955360622,\N,Spouse
92259164230,Vasilis,Tsakalidis,6967357756,\N,Friend
10400327303,Stefanos,Alexiou,6906958621,\N,Friend
11281779036,Vasilis,Karagiannis,6990294037,\N,Sibling
11281779036,Vasilis,Dimitriou,6932452756,\N,Child
30568780712,Aggeliki,Nikolaidi,6951497776,\N,Sibling
57652822619,Pavlos,Petridis,6913886550,\N,Other
57652822619,Aggeliki,Angelopoulou,6991595678,\N,Spouse
93601941270,Kalliopi,Dimitriou,6912099667,\N,Child
73448365670,Katerina,Petridi,6949095468,\N,Other
58868102531,Eirini,Konstantinidi,6959700019,\N,Other
46734743693,Paraskevi,Ioannidi,6928425111,\N,Friend
40942941259,Xanthi,Nikolaidi,6934039978,\N,Spouse
40942941259,Aikaterini,Ioannidi,6930818363,\N,Spouse
70266382071,Athina,Nikolaidi,6992889203,\N,Parent
70266382071,Despoina,Eleftheriadi,6957405892,\N,Spouse
67787192497,Kyriakos,Tsakalidis,6925744882,\N,Sibling
67787192497,Pavlos,Lamprou,6990185111,\N,Sibling
85157646705,Theodora,Archontopoulou,6934563338,\N,Friend
85157646705,Filippos,Tsoukalas,6952457051,\N,Sibling
82638803242,Leonidas,Vasileiou,6978726819,\N,Spouse
82638803242,Olympia,Tsoukala,6922941232,\N,Friend
53941854554,Theodora,Papageorgiou,6935490479,\N,Friend
89621325086,Kalliopi,Eleftheriadi,6928946736,\N,Spouse
01726280336,Alexandra,Dimitriou,6966366228,\N,Sibling
08579622951,Stavroula,Dimitriou,6974953891,\N,Other
08579622951,Georgios,Karamanlis,6941066788,\N,Sibling
16502423893,Stavroula,Vlachopoulou,6966714853,\N,Spouse
47955412982,Sofia,Papanikolaou,6969625050,\N,Child
47955412982,Alexandra,Mavridi,6949139430,\N,Spouse
02749623838,Nikos,Oikonomou,6964148632,\N,Friend
50487159051,Athina,Konstantinidi,6974003456,\N,Friend
65737449666,Ioannis,Papadimitriou,6925289404,\N,Spouse
02695775266,Stefanos,Karagiannis,6964298393,\N,Parent
88532987340,Theodora,Bakogianni,6981945659,\N,Child
03405736891,Olympia,Nikolaidi,6969916587,\N,Spouse
03405736891,Stefanos,Karamanlis,6911048578,\N,Other
65728182912,Paraskevi,Kalliga,6955373043,\N,Child
59670716944,Dimitris,Eleftheriadis,6997296822,\N,Other
59670716944,Margarita,Lazaridi,6942734497,\N,Friend
19736654758,Sotiris,Stamatiou,6960174304,\N,Parent
19736654758,Dimitra,Tsakalidi,6960041316,\N,Other
70712797176,Georgios,Papanikolaou,6970254316,\N,Other
70712797176,Evangelia,Chronopoulou,6915846472,\N,Sibling
82036906155,Aristeidis,Petridis,6954053242,\N,Other
82036906155,Sofia,Sidiropoulou,6994353286,\N,Parent
13805732136,Athina,Papadopoulou,6952950868,\N,Child
13805732136,Georgia,Ioannidi,6912359989,\N,Child
69263560062,Dimitra,Bakogianni,6934458019,\N,Child
61646152653,Evangelos,Christodoulou,6974812681,\N,Child
61646152653,Foteini,Christodoulou,6900805889,\N,Friend
81403340508,Elisavet,Karamanli,6960212467,\N,Child
81403340508,Anastasia,Papadimitriou,6912598362,\N,Parent
84959126092,Leonidas,Archontopoulos,6943896416,\N,Sibling
53223072487,Christina,Chronopoulou,6934083544,\N,Spouse
53223072487,Athina,Papadimitriou,6985988192,\N,Parent
32596276223,Xanthi,Angelopoulou,6922801771,\N,Other
32596276223,Theodora,Mavridi,6994502694,\N,Sibling
41439103231,Konstantinos,Ioannidis,6908384378,\N,Spouse
77795334225,Christos,Oikonomou,6985211484,\N,Child
83968788420,Dimitra,Oikonomou,6953202546,\N,Parent
94677818986,Vasiliki,Archontopoulou,6919473779,\N,Child
99779178220,Dimitris,Chronopoulos,6967108004,\N,Other
99779178220,Despoina,Papageorgiou,6924227496,\N,Child
83051719725,Ilias,Alexiou,6975031049,\N,Child
12806199074,Nikoletta,Archontopoulou,6932536952,\N,Sibling
35078107283,Eirini,Oikonomidi,6975644390,\N,Friend
66300636210,Alexandra,Papageorgiou,6939652729,\N,Sibling
70554899071,Christos,Makris,6926893746,\N,Parent
41577129184,Vasiliki,Kalliga,6970630228,\N,Other
78971535964,Sofia,Kalliga,6950880875,\N,Child
58105801088,Olympia,Ioannidi,6965333477,\N,Sibling
79226281915,Maria,Athanasiou,6972609796,\N,Spouse
79226281915,Georgia,Tsakalidi,6997736609,\N,Friend
98174736653,Georgia,Lamprou,6961639525,\N,Child
98174736653,Charalampos,Papageorgiou,6943721238,\N,Sibling
91898755798,Aikaterini,Angelopoulou,6959193442,\N,Sibling
91898755798,Charalampos,Dimitriou,6923933065,\N,Spouse
98096282196,Grigoris,Christodoulou,6966609797,\N,Friend
98096282196,Aggeliki,Lazaridi,6900445072,\N,Friend
10793226527,Xanthi,Eleftheriadi,6924581987,\N,Other
38053659726,Vasiliki,Antoniou,6983870278,\N,Sibling
13717306390,Pavlos,Angelopoulos,6967755957,\N,Spouse
13717306390,Pinelopi,Spanou,6941057725,\N,Parent
98810855872,Dionysios,Karamanlis,6993166081,\N,Child
98810855872,Xanthi,Konstantinidi,6915566134,\N,Parent
00458408922,Evangelia,Petridi,6938364722,\N,Sibling
70833514244,Spyros,Spanos,6914096170,\N,Friend
70833514244,Ioanna,Makri,6917098166,\N,Friend
84691281501,Spyros,Diamantis,6957947450,\N,Friend
84691281501,Grigoris,Tsoukalas,6971733157,\N,Parent
61447165044,Aggeliki,Bakogianni,6980498762,\N,Parent
73965242760,Vasilis,Chatzidakis,6962138415,\N,Sibling
73965242760,Giannis,Chronopoulos,6954252750,\N,Sibling
84820727126,Kyriakos,Triantafyllou,6974695881,\N,Friend
84820727126,Aikaterini,Antoniou,6987749294,\N,Sibling
67572668490,Vasiliki,Christodoulou,6940388333,\N,Parent
67572668490,Olympia,Dimitriou,6980166480,\N,Spouse
38895311543,Evangelia,Antoniou,6950460262,\N,Spouse
38895311543,Anastasios,Kalligas,6992251826,\N,Other
10840157997,Antonis,Makris,6968168214,\N,Parent
10840157997,Petros,Papageorgiou,6930871439,\N,Parent
05626070247,Ioannis,Oikonomidis,6929725401,\N,Sibling
47543188645,Paraskevi,Michailidi,6904583875,\N,Parent
47543188645,Anastasios,Bakogiannis,6909903172,\N,Parent
98043331569,Olympia,Antoniou,6909316426,\N,Child
14082310171,Alexandra,Papadopoulou,6905673526,\N,Spouse
35241302286,Elisavet,Angelopoulou,6957175322,\N,Other
75261587898,Ariadni,Karamanli,6967313717,\N,Other
75261587898,Giannis,Sidiropoulos,6969545085,\N,Child
11761706130,Theodora,Athanasiou,6900191542,\N,Child
11761706130,Alexandra,Eleftheriadi,6982411643,\N,Sibling
47546624822,Evangelia,Vasileiou,6966521746,\N,Sibling
47546624822,Petros,Dimitriou,6964950605,\N,Other
13463107890,Georgia,Ioannidi,6974733435,\N,Other
13463107890,Danai,Lamprou,6973697016,\N,Friend
17504093701,Leonidas,Papageorgiou,6992818472,\N,Child
17504093701,Konstantinos,Petridis,6939924161,\N,Parent
27890880683,Leonidas,Papadopoulos,6938561627,\N,Other
27890880683,Evangelos,Georgiou,6934277323,\N,Sibling
21420942079,Danai,Lazaridi,6930955877,\N,Friend
42737957238,Vasilis,Michailidis,6902469484,\N,Other
22320873857,Theodoros,Mavridis,6960809937,\N,Parent
84498838037,Kyriakos,Karagiannis,6900535588,\N,Spouse
84498838037,Aggeliki,Athanasiou,6981180829,\N,Other
28477982587,Emmanouil,Makris,6931191611,\N,Friend
28477982587,Petros,Vlachopoulos,6993731340,\N,Spouse
37930618920,Evangelia,Chatzidaki,6955065299,\N,Parent
37930618920,Petros,Antoniou,6979120720,\N,Friend
03550819968,Ariadni,Michailidi,6956740920,\N,Parent
03550819968,Stavroula,Karagianni,6959930013,\N,Sibling
80670914465,Antonis,Eleftheriadis,6952560489,\N,Friend
01380795118,Panagiotis,Karagiannis,6941647763,\N,Parent
23197670254,Filippos,Georgiou,6983281137,\N,Other
29759144894,Athina,Petridi,6976497378,\N,Parent
29759144894,Athanasios,Chatzidakis,6951918716,\N,Spouse
67666091919,Kyriakos,Spanos,6991056396,\N,Child
67666091919,Filippos,Vasileiou,6977714057,\N,Child
15544940998,Pavlos,Makris,6935420509,\N,Sibling
15544940998,Pinelopi,Papadopoulou,6972772827,\N,Child
70894266036,Charalampos,Lamprou,6961653777,\N,Other
64919163695,Charalampos,Angelopoulos,6908133490,\N,Spouse
24941801695,Leonidas,Diamantis,6951120339,\N,Other
24941801695,Paraskevi,Lamprou,6966694239,\N,Sibling
54288463773,Spyros,Triantafyllou,6979924483,\N,Other
54288463773,Emmanouil,Kalligas,6977938894,\N,Friend
77478691040,Evangelos,Nikolaidis,6907191294,\N,Spouse
65781496355,Dimitris,Nikolaidis,6974931756,\N,Parent
73733970101,Aristeidis,Petridis,6902514358,\N,Other
73733970101,Athanasios,Papageorgiou,6911800450,\N,Parent
19596027693,Emmanouil,Athanasiou,6906948617,\N,Sibling
27711488160,Eleftherios,Georgiou,6944294267,\N,Other
13786268497,Antonis,Nikolaidis,6943659723,\N,Friend
10541715007,Fotios,Triantafyllou,6977066721,\N,Friend
10541715007,Olympia,Oikonomidi,6983491430,\N,Other
72597833674,Spyros,Lazaridis,6962083610,\N,Friend
16206370355,Nikoletta,Stamatiou,6960253687,\N,Spouse
16206370355,Olympia,Archontopoulou,6992254508,\N,Parent
73871834100,Alexandra,Sidiropoulou,6908970649,\N,Other
73871834100,Markos,Tsoukalas,6904479058,\N,Spouse
02764513005,Spyros,Papadimitriou,6928507255,\N,Spouse
02764513005,Markos,Mavridis,6985155013,\N,Sibling
75051391841,Aggeliki,Makri,6932769268,\N,Friend
75051391841,Elisavet,Athanasiou,6973879309,\N,Spouse
06056360712,Ioannis,Triantafyllou,6953145945,\N,Child
95146318798,Thomas,Papadopoulos,6925092704,\N,Parent
68470726027,Dimitris,Chronopoulos,6970199824,\N,Child
18621098636,Dimitra,Karagianni,6990425284,\N,Child
17922419979,Ioanna,Kalliga,6990483346,\N,Sibling
17922419979,Aggeliki,Bakogianni,6926021318,\N,Other
97430878037,Stavroula,Dimitriou,6937314217,\N,Other
97430878037,Georgios,Vasileiou,6979944331,\N,Child
59766208407,Vasiliki,Mavridi,6955424586,\N,Child
59766208407,Theodoros,Chronopoulos,6990722679,\N,Sibling
82738688339,Emmanouil,Michailidis,6974808437,\N,Other
26273506001,Leonidas,Diamantis,6954543001,\N,Child
27420522589,Katerina,Konstantinidi,6971340250,\N,Parent
27420522589,Theodoros,Chatzidakis,6976434946,\N,Sibling
34774116028,Ariadni,Spanou,6928230164,\N,Other
44433294578,Giannis,Sidiropoulos,6971009978,\N,Sibling
44433294578,Theodoros,Tsoukalas,6982993164,\N,Spouse
02489105579,Despoina,Vlachopoulou,6963139594,\N,Spouse
02489105579,Kyriakos,Alexiou,6945907312,\N,Friend
81544788937,Evangelos,Stamatiou,6926572079,\N,Friend
81544788937,Anastasios,Angelopoulos,6978937987,\N,Child
99636918454,Paraskevi,Dimitriou,6959952747,\N,Friend
99636918454,Athina,Dimitriou,6955333179,\N,Spouse
19617650210,Vasiliki,Panagiotidi,6980631905,\N,Spouse
32879274622,Vasilis,Dimitriou,6944494199,\N,Child
32879274622,Vasiliki,Chronopoulou,6962438409,\N,Other
57368507051,Markos,Sidiropoulos,6961966760,\N,Parent
57368507051,Eleni,Vasileiou,6934010265,\N,Sibling
66573297741,Anastasios,Vlachopoulos,6961653730,\N,Sibling
16293096150,Elisavet,Papageorgiou,6979631994,\N,Child
16293096150,Thomas,Archontopoulos,6987496122,\N,Friend
78847798882,Eleni,Chronopoulou,6971547595,\N,Parent
