AMKA,first_name,last_name,fathers_name,date_of_birth,gender,weight,height,phone_number,email,address,occupation,nationality,insurance_provider
89168317151,Despoina,Tsoukala,Panagiotis,2016-12-21,F,54,163,6942412484,despoina.tsoukala@ygeiopolis.gr,"Mesogeion 20, Athens",Retired,GR,Interamerican
13011273831,Nikos,Antoniou,Fotios,1965-09-28,M,48,\N,6917203579,nikos.antoniou@ygeiopolis.gr,"Stadiou 171, Athens",Doctor,CY,Interamerican
42116846038,Eleni,Triantafyllou,Leonidas,1952-12-31,F,108,166,6915923466,eleni.triantafyllou@ygeiopolis.gr,"Alexandras 49, Athens",Retired,GR,EOPYY
46310789078,Christos,Panagiotidis,Sotiris,1986-12-14,M,80,181,6976018830,christos.panagiotidis@ygeiopolis.gr,"Vasilissis Sofias 128, Athens",Student,GR,Uninsured
31750409370,Anastasia,Michailidi,Andreas,2017-12-17,F,47,200,6985968974,anastasia.michailidi@ygeiopolis.gr,"Pireos 91, Athens",Engineer,GB,Ethniki
92416119540,Ioannis,Lamprou,Thomas,1952-06-24,M,\N,192,6927890880,ioannis.lamprou@ygeiopolis.gr,"Omirou 31, Athens",Doctor,DE,EOPYY
34277323573,Georgia,Georgiou,Anastasios,1962-08-12,F,106,173,6942142094,georgia.georgiou1@ygeiopolis.gr,"Pireos 131, Athens",Driver,GR,Eurolife
16129213511,Petros,Oikonomou,Panagiotis,1966-03-09,M,96,167,6933010753,petros.oikonomou@ygeiopolis.gr,"Syngrou 199, Athens",Retired,GR,EOPYY
83792131682,Kalliopi,Eleftheriadi,Thomas,2012-10-05,Other,102,169,6908099371,kalliopi.eleftheriadi2@ygeiopolis.gr,"Vasilissis Sofias 183, Athens",Retired,GR,MetLife
54077005355,Filippos,Michailidis,Grigoris,1967-01-21,M,74,170,6982348118,filippos.michailidis1@ygeiopolis.gr,"Patision 35, Athens",Engineer,DE,EOPYY
11916119553,Christina,Panagiotidi,Stefanos,2023-01-29,F,46,163,6973134037,christina.panagiotidi1@ygeiopolis.gr,"Mesogeion 147, Athens",Lawyer,GB,EOPYY
47424684732,Eirini,Oikonomidi,Sotiris,1993-01-21,F,60,178,6906529905,eirini.oikonomidi1@ygeiopolis.gr,"Akadimias 192, Athens",Farmer,AL,Eurolife
84456578174,Danai,Sidiropoulou,Theodoros,1998-12-16,F,\N,153,6905405155,danai.sidiropoulou@ygeiopolis.gr,"Stadiou 187, Athens",Doctor,BG,Generali
00004004645,Fotios,Athanasiou,Dionysios,2002-10-09,M,115,159,6968348752,fotios.athanasiou@ygeiopolis.gr,"Omirou 73, Athens",Retired,AL,EOPYY
04315071741,Ilias,Lamprou,Aristeidis,1968-09-04,M,96,160,6947763103,ilias.lamprou@ygeiopolis.gr,"Alexandras 79, Athens",Driver,GR,EOPYY
79297591448,Georgia,Vasileiou,Filippos,1943-10-11,F,82,182,6900946584,georgia.vasileiou@ygeiopolis.gr,"Mesogeion 144, Athens",Doctor,GR,MetLife
51918716289,Athanasios,Chatzidakis,Filippos,1985-04-29,M,91,166,6976766609,athanasios.chatzidakis1@ygeiopolis.gr,"Akadimias 88, Athens",Teacher,GB,EOPYY
67044777140,Christina,Diamanti,Kyriakos,1993-06-26,F,126,189,6970250155,christina.diamanti@ygeiopolis.gr,"Ermou 160, Athens",Student,GR,MetLife
07277282769,Ilias,Makris,Grigoris,1996-01-14,M,99,184,6987089426,ilias.makris@ygeiopolis.gr,"Patision 163, Athens",Doctor,GR,EOPYY
65377784247,Eirini,Dimitriou,Pavlos,2015-11-05,F,105,171,6949191636,eirini.dimitriou1@ygeiopolis.gr,"Vouliagmenis 46, Athens",Chef,CY,EOPYY
32692494180,Charalampos,Karamanlis,Thomas,2017-04-09,M,\N,\N,6995991129,charalampos.karamanlis1@ygeiopolis.gr,"Stadiou 139, Athens",Student,AL,Generali
59666942394,Elisavet,Archontopoulou,Vasilis,1951-03-03,F,106,190,6983754288,elisavet.archontopoulou@ygeiopolis.gr,"Syngrou 162, Athens",Student,AL,EOPYY
72687793889,Despoina,Christodoulou,Athanasios,1950-09-20,F,113,189,6991286728,despoina.christodoulou1@ygeiopolis.gr,"Stadiou 14, Athens",Lawyer,BG,Generali
12943370265,Christos,Chronopoulos,Fotios,1986-02-04,M,53,151,6914963550,christos.chronopoulos@ygeiopolis.gr,"Solonos 30, Athens",Teacher,GB,EOPYY
37339701014,Danai,Eleftheriadi,Spyros,1974-08-15,F,\N,171,6962189224,danai.eleftheriadi1@ygeiopolis.gr,"Vasilissis Sofias 178, Athens",Engineer,GR,Interamerican
02769347796,Aggeliki,Sidiropoulou,Konstantinos,1987-12-13,F,84,166,6954856257,aggeliki.sidiropoulou1@ygeiopolis.gr,"Athinas 15, Athens",Retired,GR,Generali
57082678650,Margarita,Lazaridi,Athanasios,2001-10-22,F,\N,194,6941442942,margarita.lazaridi1@ygeiopolis.gr,"Alexandras 12, Athens",Doctor,BG,Uninsured
42076817006,Grigoris,Konstantinidis,Panagiotis,1977-05-21,M,58,170,6943659723,grigoris.konstantinidis@ygeiopolis.gr,"Vasilissis Sofias 32, Athens",Chef,BG,Interamerican
77066721922,Fotios,Triantafyllou,Petros,1975-09-27,M,67,189,6949143092,fotios.triantafyllou@ygeiopolis.gr,"Mesogeion 137, Athens",Teacher,CY,EOPYY
69880122562,Alexandra,Bakogianni,Antonis,2019-11-30,F,\N,\N,6936108802,alexandra.bakogianni1@ygeiopolis.gr,"Kifissias 167, Athens",Retired,BG,Uninsured
66296586360,Thomas,Nikolaidis,Markos,2013-06-17,M,91,\N,6936873209,thomas.nikolaidis@ygeiopolis.gr,"Syngrou 6, Athens",Driver,GR,Ethniki
30046035608,Olympia,Chronopoulou,Anastasios,1970-09-19,F,123,190,6906493759,olympia.chronopoulou@ygeiopolis.gr,"Omirou 81, Athens",Engineer,GR,Generali
01985754738,Konstantinos,Spanos,Giannis,1979-10-20,Other,45,172,6984274062,konstantinos.spanos@ygeiopolis.gr,"Alexandras 58, Athens",Clerk,GR,Allianz
75051391841,Kalliopi,Papadimitriou,Nikos,1979-05-11,F,92,\N,6951412007,kalliopi.papadimitriou@ygeiopolis.gr,"Kifissias 149, Athens",Student,GR,Generali
23906056360,Michalis,Michailidis,Alexandros,1985-12-28,M,113,154,6924137394,michalis.michailidis@ygeiopolis.gr,"Vouliagmenis 57, Athens",Chef,GR,EOPYY
31879897633,Eleftherios,Antoniou,Dimitris,1937-11-01,M,58,174,6923042333,eleftherios.antoniou@ygeiopolis.gr,"Patision 197, Athens",Clerk,DE,Uninsured
26027578966,Dimitris,Karagiannis,Pavlos,2007-03-15,M,50,151,6980537380,dimitris.karagiannis@ygeiopolis.gr,"Stadiou 156, Athens",Clerk,DE,EOPYY
36782816896,Olympia,Sidiropoulou,Giannis,2024-05-11,F,114,174,6966881279,olympia.sidiropoulou@ygeiopolis.gr,"Alexandras 129, Athens",Engineer,GR,EOPYY
08348098544,Dimitris,Kalligas,Fotios,1943-11-18,M,103,190,6978904833,dimitris.kalligas@ygeiopolis.gr,"Akadimias 100, Athens",Student,AL,Ethniki
30878037825,Stavroula,Karamanli,Stefanos,1962-01-11,F,85,190,6971268870,stavroula.karamanli@ygeiopolis.gr,"Stadiou 61, Athens",Student,GR,Ethniki
62084078464,Charalampos,Sidiropoulos,Giannis,1944-11-28,M,110,177,6915774662,charalampos.sidiropoulos@ygeiopolis.gr,"Alexandras 162, Athens",Teacher,GB,MetLife
94060154138,Pavlos,Papageorgiou,Kyriakos,2010-09-09,M,122,158,6938688339,pavlos.papageorgiou@ygeiopolis.gr,"Akadimias 92, Athens",Driver,GR,Allianz
06001266460,Stavroula,Michailidi,Aristeidis,1972-11-05,F,130,170,6914909100,stavroula.michailidi@ygeiopolis.gr,"Vasilissis Sofias 87, Athens",Chef,GR,Interamerican
21665691070,Anastasios,Stamatiou,Antonis,1969-02-06,M,97,159,6961171340,anastasios.stamatiou@ygeiopolis.gr,"Mesogeion 108, Athens",Driver,CY,EOPYY
92041552823,Anastasios,Spanos,Christos,2020-11-28,M,81,199,6964303297,anastasios.spanos1@ygeiopolis.gr,"Ermou 38, Athens",Lawyer,GR,Generali
09978442982,Panagiotis,Vlachopoulos,Stefanos,1973-06-07,M,122,199,6916421282,panagiotis.vlachopoulos1@ygeiopolis.gr,"Patision 197, Athens",Doctor,CY,Allianz
51234344070,Leonidas,Antoniou,Nikos,1979-04-01,M,128,170,6963139594,leonidas.antoniou@ygeiopolis.gr,"Vouliagmenis 6, Athens",Farmer,CY,Eurolife
50709506263,Anastasios,Archontopoulos,Kyriakos,2008-09-23,M,51,181,6962432657,anastasios.archontopoulos@ygeiopolis.gr,"Patision 124, Athens",Driver,GR,Eurolife
45441983857,Olympia,Oikonomou,Michalis,1938-01-26,F,118,180,6982629016,olympia.oikonomou@ygeiopolis.gr,"Solonos 73, Athens",Retired,GR,Ethniki
00027864995,Anastasia,Konstantinidi,Fotios,1945-09-21,F,69,\N,6970051253,anastasia.konstantinidi@ygeiopolis.gr,"Ermou 1, Athens",Clerk,GR,Uninsured
72075793144,Ioannis,Alexiou,Athanasios,2002-11-05,M,80,\N,6919964596,ioannis.alexiou1@ygeiopolis.gr,"Vouliagmenis 184, Athens",Driver,GR,Uninsured
51103186720,Antonis,Chatzidakis,Leonidas,1982-08-04,M,93,155,6991445661,antonis.chatzidakis1@ygeiopolis.gr,"Ermou 86, Athens",Chef,AL,Interamerican
57329774105,Pavlos,Petridis,Aristeidis,2025-02-16,M,68,194,6985902330,pavlos.petridis@ygeiopolis.gr,"Mesogeion 163, Athens",Chef,GR,Interamerican
29309615071,Stavroula,Sidiropoulou,Konstantinos,1948-05-04,F,79,179,6966169036,stavroula.sidiropoulou@ygeiopolis.gr,"Pireos 147, Athens",Lawyer,GR,Ethniki
79888243759,Alexandra,Papageorgiou,Fotios,1989-03-11,F,101,\N,6968627482,alexandra.papageorgiou1@ygeiopolis.gr,"Alexandras 66, Athens",Farmer,GR,EOPYY
71650942315,Andreas,Christodoulou,Pavlos,1944-01-23,M,75,187,6937813191,andreas.christodoulou@ygeiopolis.gr,"Athinas 6, Athens",Retired,GR,Allianz
93942789119,Vasiliki,Dimitriou,Spyros,1937-09-07,F,\N,168,6968900986,vasiliki.dimitriou1@ygeiopolis.gr,"Vasilissis Sofias 21, Athens",Engineer,AL,Allianz
72400303151,Elisavet,Spanou,Fotios,1958-05-29,F,83,179,6961759896,elisavet.spanou@ygeiopolis.gr,"Kifissias 68, Athens",Driver,GR,Uninsured
77708594268,Georgios,Chatzidakis,Stefanos,2009-11-29,M,45,170,6995543448,georgios.chatzidakis1@ygeiopolis.gr,"Pireos 87, Athens",Driver,GR,EOPYY
32434213957,Sotiris,Chatzidakis,Aristeidis,1954-05-09,M,78,170,6956280733,sotiris.chatzidakis@ygeiopolis.gr,"Athinas 84, Athens",Retired,GR,EOPYY
70625873608,Elisavet,Stamatiou,Markos,2019-12-11,F,53,\N,6958226231,elisavet.stamatiou@ygeiopolis.gr,"Panepistimiou 35, Athens",Doctor,BG,Ethniki
38289812239,Alexandra,Lazaridi,Ilias,1990-05-09,F,94,160,6975376445,alexandra.lazaridi@ygeiopolis.gr,"Akadimias 4, Athens",Teacher,GR,Uninsured
69939945106,Eirini,Angelopoulou,Fotios,1966-05-03,F,\N,181,6938292162,eirini.angelopoulou@ygeiopolis.gr,"Syngrou 96, Athens",Chef,DE,Interamerican
08886081107,Foteini,Diamanti,Eleftherios,2016-06-12,F,116,168,6992360368,foteini.diamanti@ygeiopolis.gr,"Vasilissis Sofias 198, Athens",Engineer,DE,Uninsured
42181801874,Thomas,Papadimitriou,Spyros,1983-11-12,M,72,\N,6991311265,thomas.papadimitriou@ygeiopolis.gr,"Pireos 55, Athens",Chef,BG,Generali
85920630416,Danai,Georgiou,Georgios,1994-07-03,F,\N,\N,6972618910,danai.georgiou@ygeiopolis.gr,"Solonos 18, Athens",Chef,CY,EOPYY
07727204509,Stefanos,Petridis,Giannis,1939-08-12,M,86,152,6963533350,stefanos.petridis@ygeiopolis.gr,"Vasilissis Sofias 148, Athens",Teacher,AL,EOPYY
53390363857,Pavlos,Sidiropoulos,Vasilis,2000-06-08,M,63,181,6939195800,pavlos.sidiropoulos@ygeiopolis.gr,"Alexandras 12, Athens",Engineer,DE,Generali
64201819023,Nikoletta,Ioannidi,Giannis,2010-03-12,F,59,199,6916519889,nikoletta.ioannidi@ygeiopolis.gr,"Alexandras 9, Athens",Engineer,AL,EOPYY
20204871036,Kalliopi,Karagianni,Ilias,1955-02-15,F,119,168,6934764144,kalliopi.karagianni2@ygeiopolis.gr,"Alexandras 56, Athens",Driver,BG,EOPYY
73564272943,Paraskevi,Karamanli,Alexandros,1988-05-02,F,100,178,6909098245,paraskevi.karamanli@ygeiopolis.gr,"Patision 39, Athens",Engineer,DE,EOPYY
34176228095,Christina,Georgiou,Panagiotis,1998-07-13,F,79,185,6975401637,christina.georgiou1@ygeiopolis.gr,"Stadiou 115, Athens",Chef,GR,Ethniki
06464676478,Christos,Mavridis,Leonidas,1952-02-10,M,118,159,6962508450,christos.mavridis@ygeiopolis.gr,"Alexandras 120, Athens",Teacher,GR,EOPYY
32865918198,Anastasia,Papadopoulou,Leonidas,2022-03-15,F,130,153,6928390530,anastasia.papadopoulou@ygeiopolis.gr,"Panepistimiou 144, Athens",Doctor,BG,EOPYY
14387673843,Aristeidis,Diamantis,Sotiris,2014-12-04,M,97,195,6956769597,aristeidis.diamantis1@ygeiopolis.gr,"Mesogeion 56, Athens",Chef,GR,MetLife
13430768329,Sofia,Athanasiou,Grigoris,1955-05-19,F,65,161,6976816051,sofia.athanasiou@ygeiopolis.gr,"Omirou 61, Athens",Chef,GR,Eurolife
07347873541,Eirini,Papanikolaou,Sotiris,2000-03-14,Other,96,180,6956473116,eirini.papanikolaou@ygeiopolis.gr,"Pireos 186, Athens",Clerk,DE,Ethniki
65608804189,Ariadni,Dimitriou,Georgios,2021-12-26,F,93,\N,6944628826,ariadni.dimitriou@ygeiopolis.gr,"Athinas 140, Athens",Teacher,BG,EOPYY
49116476492,Olympia,Panagiotidi,Charalampos,1960-04-18,F,116,154,6938681337,olympia.panagiotidi1@ygeiopolis.gr,"Alexandras 89, Athens",Driver,GR,Uninsured
17876028749,Grigoris,Karamanlis,Charalampos,2024-01-31,M,\N,154,6926488105,grigoris.karamanlis@ygeiopolis.gr,"Akadimias 136, Athens",Engineer,GR,MetLife
95395369823,Georgia,Triantafyllou,Theodoros,1940-06-18,F,65,153,6907248611,georgia.triantafyllou@ygeiopolis.gr,"Omirou 178, Athens",Retired,AL,Uninsured
78861732776,Theodoros,Makris,Pavlos,2023-02-05,M,105,194,6939513689,theodoros.makris2@ygeiopolis.gr,"Kifissias 152, Athens",Chef,GR,Interamerican
88374489239,Theodora,Nikolaidi,Thomas,1945-10-27,F,64,180,6904244502,theodora.nikolaidi@ygeiopolis.gr,"Athinas 133, Athens",Retired,AL,Eurolife
03804374126,Elisavet,Ioannidi,Giannis,1970-07-24,F,45,196,6986551086,elisavet.ioannidi1@ygeiopolis.gr,"Ermou 129, Athens",Teacher,GB,MetLife
75557486328,Eirini,Michailidi,Giannis,2018-12-24,F,81,186,6970560557,eirini.michailidi1@ygeiopolis.gr,"Kifissias 2, Athens",Farmer,DE,Uninsured
79181433697,Eirini,Lamprou,Dionysios,1995-12-07,F,\N,183,6955460683,eirini.lamprou2@ygeiopolis.gr,"Syngrou 41, Athens",Student,GR,Interamerican
93790229309,Eirini,Konstantinidi,Eleftherios,1967-05-14,F,48,180,6943121345,eirini.konstantinidi@ygeiopolis.gr,"Akadimias 88, Athens",Retired,BG,MetLife
32249673719,Olympia,Diamanti,Charalampos,1987-07-17,Other,65,189,6955791209,olympia.diamanti2@ygeiopolis.gr,"Solonos 177, Athens",Student,CY,Generali
63914183590,Charalampos,Oikonomou,Eleftherios,1958-06-15,M,83,196,6990444742,charalampos.oikonomou@ygeiopolis.gr,"Akadimias 123, Athens",Lawyer,GR,Eurolife
89910858777,Sotiris,Sidiropoulos,Charalampos,2025-05-02,M,102,180,6950139939,sotiris.sidiropoulos@ygeiopolis.gr,"Ermou 198, Athens",Driver,CY,Interamerican
49864094665,Pavlos,Mavridis,Athanasios,1952-10-11,M,128,156,6997705364,pavlos.mavridis@ygeiopolis.gr,"Akadimias 28, Athens",Student,GR,Generali
69001923315,Aristeidis,Tsoukalas,Filippos,2013-06-08,M,56,161,6904157584,aristeidis.tsoukalas@ygeiopolis.gr,"Mesogeion 115, Athens",Driver,BG,Interamerican
95064103184,Pavlos,Oikonomidis,Anastasios,2019-09-20,Other,53,192,6932652346,pavlos.oikonomidis@ygeiopolis.gr,"Athinas 16, Athens",Retired,CY,Generali
89143535425,Foteini,Oikonomidi,Aristeidis,1968-11-20,F,54,198,6928607813,foteini.oikonomidi@ygeiopolis.gr,"Vasilissis Sofias 199, Athens",Clerk,GR,Eurolife
65120690611,Vasiliki,Vasileiou,Leonidas,1969-05-15,F,93,198,6997372530,vasiliki.vasileiou@ygeiopolis.gr,"Vouliagmenis 65, Athens",Farmer,GR,Ethniki
29262055556,Athanasios,Makris,Michalis,1951-11-25,M,122,168,6984975657,athanasios.makris@ygeiopolis.gr,"Panepistimiou 19, Athens",Clerk,GR,EOPYY
95728397830,Danai,Papadopoulou,Panagiotis,1964-03-05,F,88,160,6989865984,danai.papadopoulou1@ygeiopolis.gr,"Pireos 82, Athens",Doctor,GR,Eurolife
74390648477,Aggeliki,Archontopoulou,Spyros,2008-04-24,F,\N,189,6902444073,aggeliki.archontopoulou@ygeiopolis.gr,"Ermou 173, Athens",Teacher,GB,Eurolife
64710793527,Emmanouil,Sidiropoulos,Pavlos,1994-09-20,M,\N,164,6952083130,emmanouil.sidiropoulos@ygeiopolis.gr,"Akadimias 24, Athens",Engineer,GR,Interamerican
10606067377,Georgia,Papageorgiou,Antonis,1977-12-20,F,48,166,6992141810,georgia.papageorgiou1@ygeiopolis.gr,"Mesogeion 159, Athens",Engineer,BG,EOPYY
90336759479,Markos,Eleftheriadis,Alexandros,1937-09-15,M,72,184,6909999378,markos.eleftheriadis@ygeiopolis.gr,"Patision 74, Athens",Student,DE,Interamerican
