AMKA,first_name,last_name,date_of_birth,email,phone_number,hire_date,staff_type
05040433335,Dionysios,Tsoukalas,1992-08-26,dionysios.tsoukalas1@ygeiopolis.gr,6984951632,2018-02-23,Admin
80933913732,Nikoletta,Konstantinidi,1983-03-15,nikoletta.konstantinidi@ygeiopolis.gr,6953060119,2022-08-31,Admin
88002300915,Despoina,Sidiropoulou,1982-10-02,despoina.sidiropoulou@ygeiopolis.gr,6918298036,2020-09-29,Admin
16093659520,Xanthi,Lamprou,1997-12-12,xanthi.lamprou@ygeiopolis.gr,6949118941,2023-01-18,Admin
92632239982,Vasiliki,Vlachopoulou,1998-01-26,vasiliki.vlachopoulou@ygeiopolis.gr,6937455611,2019-11-12,Admin
60505376660,Fotios,Alexiou,1978-01-27,fotios.alexiou@ygeiopolis.gr,6911260030,2022-11-01,Admin
27153123455,Nikos,Antoniou,1999-01-13,nikos.antoniou@ygeiopolis.gr,6968826917,2024-01-10,Admin
40134808735,Fotios,Athanasiou,1987-12-25,fotios.athanasiou@ygeiopolis.gr,6937882603,2019-08-16,Admin
70908599144,Christos,Michailidis,1975-08-14,christos.michailidis@ygeiopolis.gr,6920749269,2023-06-05,Admin
89971842859,Danai,Ioannidi,1984-02-20,danai.ioannidi@ygeiopolis.gr,6993259140,2022-08-12,Admin
23426698069,Vasilis,Dimitriou,1969-12-25,vasilis.dimitriou@ygeiopolis.gr,6908726176,2017-05-06,Admin
89359538280,Kalliopi,Panagiotidi,1988-08-06,kalliopi.panagiotidi@ygeiopolis.gr,6905612996,2020-10-30,Admin
64186965613,Kalliopi,Chatzidaki,2000-09-12,kalliopi.chatzidaki@ygeiopolis.gr,6987612385,2023-05-30,Admin
23948400273,Eirini,Alexiou,2001-04-28,eirini.alexiou@ygeiopolis.gr,6908696610,2018-04-24,Admin
95001680941,Alexandros,Stamatiou,1988-03-22,alexandros.stamatiou@ygeiopolis.gr,6991507628,2019-03-14,Admin
