AMKA,first_name,last_name,date_of_birth,email,phone_number,hire_date,staff_type
05779806603,Xanthi,Petridi,1970-12-11,xanthi.petridi@ygeiopolis.gr,6920514607,2017-11-04,Doctor
53470574238,Xanthi,Tsakalidi,1971-10-29,xanthi.tsakalidi@ygeiopolis.gr,6956527155,2021-11-29,Doctor
11659726347,Sotiris,Karamanlis,1980-08-24,sotiris.karamanlis@ygeiopolis.gr,6957522501,2017-02-16,Doctor
84882691311,Aggeliki,Papadimitriou,1969-07-20,aggeliki.papadimitriou@ygeiopolis.gr,6964258562,2019-04-27,Doctor
91537038240,Eleftherios,Tsoukalas,1974-03-12,eleftherios.tsoukalas@ygeiopolis.gr,6933337320,2018-04-30,Doctor
77688936289,Nikos,Tsoukalas,1978-06-13,nikos.tsoukalas@ygeiopolis.gr,6996454655,2017-08-19,Doctor
12538921878,Kalliopi,Tsakalidi,1982-04-24,kalliopi.tsakalidi@ygeiopolis.gr,6919358374,2021-06-10,Doctor
77961208780,Dionysios,Tsoukalas,1980-10-12,dionysios.tsoukalas@ygeiopolis.gr,6972151494,2023-02-28,Doctor
26374845398,Anastasios,Triantafyllou,1978-02-10,anastasios.triantafyllou@ygeiopolis.gr,6928950905,2021-08-03,Doctor
18623392207,Panagiotis,Tsoukalas,1991-01-06,panagiotis.tsoukalas@ygeiopolis.gr,6951169666,2022-10-23,Doctor
21452647124,Anastasia,Lazaridi,1978-05-15,anastasia.lazaridi@ygeiopolis.gr,6933515718,2017-11-21,Doctor
05120800564,Konstantinos,Kalligas,1995-02-18,konstantinos.kalligas@ygeiopolis.gr,6999512397,2017-01-14,Doctor
29592728270,Leonidas,Dimitriou,1968-06-20,leonidas.dimitriou@ygeiopolis.gr,6908144152,2021-08-14,Doctor
39295786718,Christos,Karagiannis,1993-06-09,christos.karagiannis@ygeiopolis.gr,6953523736,2015-06-20,Doctor
91815899886,Eleni,Papageorgiou,1971-11-13,eleni.papageorgiou@ygeiopolis.gr,6934527346,2019-07-14,Doctor
70715879647,Eirini,Georgiou,1983-06-29,eirini.georgiou@ygeiopolis.gr,6908031499,2021-02-01,Doctor
80046358068,Sotiris,Archontopoulos,1972-11-14,sotiris.archontopoulos@ygeiopolis.gr,6928503172,2017-06-26,Doctor
73990063140,Katerina,Makri,1985-08-04,katerina.makri@ygeiopolis.gr,6952635602,2016-08-03,Doctor
94346066643,Evangelos,Triantafyllou,1974-06-23,evangelos.triantafyllou@ygeiopolis.gr,6949060723,2015-10-16,Doctor
71285246484,Andreas,Papanikolaou,1983-08-09,andreas.papanikolaou@ygeiopolis.gr,6994116318,2020-08-01,Doctor
07711306211,Georgios,Oikonomou,1985-07-13,georgios.oikonomou@ygeiopolis.gr,6969572790,2022-06-08,Doctor
09025425730,Ioannis,Spanos,1978-10-27,ioannis.spanos@ygeiopolis.gr,6962481323,2018-10-07,Doctor
13984822850,Maria,Eleftheriadi,1991-05-19,maria.eleftheriadi@ygeiopolis.gr,6916880925,2019-02-26,Doctor
30609069130,Michalis,Dimitriou,1971-02-03,michalis.dimitriou@ygeiopolis.gr,6981079649,2019-05-04,Doctor
79457727853,Aggeliki,Christodoulou,1989-11-24,aggeliki.christodoulou@ygeiopolis.gr,6942642506,2024-01-13,Doctor
76836253666,Anastasia,Angelopoulou,1975-09-18,anastasia.angelopoulou@ygeiopolis.gr,6977675556,2016-06-29,Doctor
39395786543,Stefanos,Makris,1978-10-02,stefanos.makris@ygeiopolis.gr,6927187496,2015-07-28,Doctor
82686270369,Ioannis,Lazaridis,1966-06-15,ioannis.lazaridis@ygeiopolis.gr,6924926932,2019-08-12,Doctor
27599801110,Ioanna,Christodoulou,1995-12-26,ioanna.christodoulou@ygeiopolis.gr,6905155323,2018-06-13,Doctor
59775244182,Markos,Tsoukalas,1989-07-22,markos.tsoukalas@ygeiopolis.gr,6926189628,2021-03-12,Doctor
31271026767,Alexandra,Vasileiou,1988-09-23,alexandra.vasileiou@ygeiopolis.gr,6909579927,2015-03-23,Doctor
55151229462,Margarita,Chronopoulou,1991-05-25,margarita.chronopoulou@ygeiopolis.gr,6935415970,2021-12-22,Doctor
43848075203,Dimitra,Michailidi,1982-08-15,dimitra.michailidi@ygeiopolis.gr,6947650471,2018-09-25,Doctor
09046376604,Georgios,Tsoukalas,1979-07-19,georgios.tsoukalas@ygeiopolis.gr,6955866525,2023-01-24,Doctor
74417158102,Kalliopi,Stamatiou,1991-07-29,kalliopi.stamatiou@ygeiopolis.gr,6931251293,2023-09-26,Doctor
05912975191,Panagiotis,Papadopoulos,1993-11-08,panagiotis.papadopoulos@ygeiopolis.gr,6923121106,2023-11-17,Doctor
16583737927,Ioannis,Archontopoulos,1983-06-15,ioannis.archontopoulos@ygeiopolis.gr,6990728012,2017-03-20,Doctor
