AMKA,first_name,last_name,date_of_birth,email,phone_number,hire_date,staff_type
62792463203,Nikos,Makris,1984-09-01,nikos.makris@ygeiopolis.gr,6947677537,2017-06-18,Nurse
45057661945,Anastasia,Dimitriou,1981-05-16,anastasia.dimitriou@ygeiopolis.gr,6987071553,2019-06-25,Nurse
84008385076,Christos,Chatzidakis,1989-05-19,christos.chatzidakis@ygeiopolis.gr,6997595450,2021-10-18,Nurse
80898126574,Athina,Triantafyllou,1997-11-27,athina.triantafyllou@ygeiopolis.gr,6923196463,2016-06-20,Nurse
93626894301,Christina,Sidiropoulos,1997-01-12,christina.sidiropoulos@ygeiopolis.gr,6904713727,2017-04-12,Nurse
57498855829,Vasiliki,Tsoukalas,1981-01-13,vasiliki.tsoukalas@ygeiopolis.gr,6949330674,2019-09-06,Nurse
94412833372,Eirini,Archontopoulos,1999-12-10,eirini.archontopoulos@ygeiopolis.gr,6988566695,2019-05-10,Nurse
50666267055,Aggeliki,Nikolaidis,1999-01-22,aggeliki.nikolaidis@ygeiopolis.gr,6943776936,2020-10-27,Nurse
52959611110,Olympia,Papanikolaou,1997-08-19,olympia.papanikolaou@ygeiopolis.gr,6986712007,2017-12-28,Nurse
91024510910,Paraskevi,Tsakalidis,1976-10-21,paraskevi.tsakalidis@ygeiopolis.gr,6903267149,2019-04-08,Nurse
17942817934,Eleftherios,Mavridis,2002-12-05,eleftherios.mavridis@ygeiopolis.gr,6965277584,2019-04-17,Nurse
45337220109,Olympia,Christodoulou,1999-01-31,olympia.christodoulou@ygeiopolis.gr,6921722145,2023-09-17,Nurse
18943705263,Theodora,Sidiropoulos,1988-11-19,theodora.sidiropoulos@ygeiopolis.gr,6910046277,2023-05-20,Nurse
56592024617,Ioanna,Mavridis,1989-05-10,ioanna.mavridis@ygeiopolis.gr,6920238974,2018-04-08,Nurse
59550178332,Giannis,Michailidis,1989-06-13,giannis.michailidis@ygeiopolis.gr,6984868999,2018-03-16,Nurse
98487045069,Eleni,Bakogiannis,1976-03-27,eleni.bakogiannis@ygeiopolis.gr,6917679935,2022-08-17,Nurse
39464083037,Stavroula,Angelopoulos,1993-08-23,stavroula.angelopoulos@ygeiopolis.gr,6960601488,2020-09-03,Nurse
90793884136,Olympia,Karamanlis,1979-03-18,olympia.karamanlis@ygeiopolis.gr,6952830615,2023-04-03,Nurse
24462632514,Georgios,Athanasiou,1990-06-25,georgios.athanasiou@ygeiopolis.gr,6988112103,2016-09-27,Nurse
17518878179,Georgia,Oikonomidis,1991-11-18,georgia.oikonomidis@ygeiopolis.gr,6915152638,2018-10-22,Nurse
12252883750,Olympia,Georgiou,1989-02-07,olympia.georgiou@ygeiopolis.gr,6966186323,2022-12-18,Nurse
