+-------------+--------------+------------------+------------------+
| AMKA        | first_name   | last_name        | total_procedures |
+-------------+--------------+------------------+------------------+
| 01584668793 | Vasiliki     | Kalliga          |                2 |
| 26589347597 | Grigoris     | Angelopoulos     |                2 |
| 64224059208 | Stavroula    | Spanou           |                2 |
| 21860032031 | Alexandros   | Tsouvelas        |                2 |
| 47837031754 | Manto        | Mavrogenous      |                2 |
| 85324367924 | Anastasia    | Chronopoulou     |                2 |
| 19360060827 | Archimedes   | Inventor         |                2 |
| 33243629620 | Nikos        | Dendias          |                2 |
| 57292731868 | Elisavet     | Karagianni       |                2 |
| 91511436786 | Filippos     | Makris           |                2 |
| 40837819190 | Faii         | Skorda           |                2 |
| 75983326170 | Charalampos  | Antoniou         |                2 |
| 12244418997 | Georgia      | Spanou           |                2 |
| 24485007288 | Pavlos       | Kalligas         |                2 |
| 37185921268 | Georgios     | Chatzidakis      |                2 |
| 50524383805 | Antonis      | Remos            |                2 |
| 73217503619 | Anastasios   | Karagiannis      |                2 |
| 20761239612 | Fotios       | Vlachopoulos     |                2 |
| 93784679087 | Giannis      | Ploutarchos      |                2 |
| 17989022379 | Petros       | Papageorgiou     |                2 |
| 43302650996 | Antonis      | Petridis         |                2 |
| 79725184070 | Eleftherios  | Tsakalidis       |                2 |
| 64509999001 | Vangelis     | Papathanassiou   |                2 |
| 10749161942 | Stefanos     | Kalligas         |                2 |
| 36273202227 | Dimitris     | Koutsoumpas      |                2 |
| 86027574544 | Konstantinos | Tsoukalas        |                2 |
| 96322517422 | Sakis        | Tanimanidis      |                2 |
| 19397814590 | Dimitris     | Diamantidis      |                2 |
| 69480450735 | Ioannis      | Michailidis      |                2 |
| 04450928605 | Giorgos      | Mazonakis        |                2 |
| 17192817074 | Spyros       | Papadopoulos     |                2 |
| 29591257349 | Pantelis     | Pantelidis       |                2 |
| 90326551327 | Nikos        | Moutsinas        |                2 |
| 38118081896 | Aggeliki     | Lazaridi         |                2 |
| 73420319777 | Foteini      | Vlachopoulou     |                2 |
| 10404315668 | Eleftherios  | Athanasiou       |                2 |
| 94882188496 | Dimitris     | Makalias         |                2 |
| 18335974876 | Vasiliki     | Antoniou         |                2 |
| 56340918580 | Katerina     | Vasileiou        |                2 |
| 15689109779 | Kalliopi     | Eleftheriadi     |                2 |
| 52824685492 | Pavlos       | Triantafyllou    |                2 |
| 61259016399 | Dimitris     | Dimitriou        |                2 |
| 86132394564 | Markos       | Oikonomidis      |                2 |
| 08581810450 | Katerina     | Stefanidi        |                2 |
| 33610944164 | Petros       | Konstantinidis   |                2 |
| 44890932253 | Katerina     | Sakellaropoulou  |                2 |
