+----------------------------+-------+------------------------------------------------------------------+
| doctor_name                | level | hierarchy_path                                                   |
+----------------------------+-------+------------------------------------------------------------------+
| Anna Vissi                 |     1 | /                                                                |
| Antonis Remos              |     1 | /                                                                |
| Despina Vandi              |     1 | /                                                                |
| Eleni Foureira             |     1 | /                                                                |
| Giannis Antetokounmpo      |     1 | /                                                                |
| Giorgos Mazonakis          |     1 | /                                                                |
| Helena Paparizou           |     1 | /                                                                |
| Katerina Stikoudi          |     1 | /                                                                |
| Konstantinos Argiros       |     1 | /                                                                |
| Michalis Alexiou           |     1 | /                                                                |
| Natasa Theodorou           |     1 | /                                                                |
| Nikos Vertis               |     1 | /                                                                |
| Notis Sfakianakis          |     1 | /                                                                |
| Pantelis Pantelidis        |     1 | /                                                                |
| Sakis Rouvas               |     1 | /                                                                |
| Kostas Sloukas             |     2 | /Anna-Vissi/                                                     |
| Melina Aslanidou           |     2 | /Anna-Vissi/                                                     |
| Aggeliki Sidiropoulou      |     3 | /Anna-Vissi/Kostas-Sloukas/                                      |
| Eleni Menegaki             |     3 | /Anna-Vissi/Kostas-Sloukas/                                      |
| Lambros Fisfis             |     3 | /Anna-Vissi/Kostas-Sloukas/                                      |
| Georgios Oikonomidis       |     4 | /Anna-Vissi/Kostas-Sloukas/Eleni-Menegaki/                       |
| Pavlos Chronopoulos        |     4 | /Anna-Vissi/Kostas-Sloukas/Eleni-Menegaki/                       |
| Leonidas Triantafyllou     |     4 | /Anna-Vissi/Kostas-Sloukas/Lambros-Fisfis/                       |
| Nikos Lamprou              |     4 | /Anna-Vissi/Kostas-Sloukas/Lambros-Fisfis/                       |
| Petros Bakogiannis         |     4 | /Anna-Vissi/Kostas-Sloukas/Lambros-Fisfis/                       |
| Alexandros Stamatiou       |     3 | /Anna-Vissi/Melina-Aslanidou/                                    |
| Theodoros Kolokotronis     |     3 | /Anna-Vissi/Melina-Aslanidou/                                    |
| Vasilis Bisbikis           |     3 | /Anna-Vissi/Melina-Aslanidou/                                    |
| Antonis Samaras            |     4 | /Anna-Vissi/Melina-Aslanidou/Theodoros-Kolokotronis/             |
| Kalliopi Eleftheriadi      |     4 | /Anna-Vissi/Melina-Aslanidou/Theodoros-Kolokotronis/             |
| Stavroula Chatzidaki       |     4 | /Anna-Vissi/Melina-Aslanidou/Theodoros-Kolokotronis/             |
| Christina Vlachopoulou     |     4 | /Anna-Vissi/Melina-Aslanidou/Vasilis-Bisbikis/                   |
| Homer Poet                 |     4 | /Anna-Vissi/Melina-Aslanidou/Vasilis-Bisbikis/                   |
| Stavroula Oikonomou        |     4 | /Anna-Vissi/Melina-Aslanidou/Vasilis-Bisbikis/                   |
| Giorgos Karagounis         |     2 | /Antonis-Remos/                                                  |
| Michalis Hatzigiannis      |     2 | /Antonis-Remos/                                                  |
| Eleni Rantou               |     3 | /Antonis-Remos/Giorgos-Karagounis/                               |
| Stamatis Fasoulis          |     3 | /Antonis-Remos/Giorgos-Karagounis/                               |
| Filippos Makris            |     4 | /Antonis-Remos/Giorgos-Karagounis/Eleni-Rantou/                  |
| Georgios Chatzidakis       |     4 | /Antonis-Remos/Giorgos-Karagounis/Eleni-Rantou/                  |
| Danai Vlachopoulou         |     4 | /Antonis-Remos/Giorgos-Karagounis/Stamatis-Fasoulis/             |
| Grigoris Dimitriou         |     4 | /Antonis-Remos/Giorgos-Karagounis/Stamatis-Fasoulis/             |
| Sotiris Papageorgiou       |     4 | /Antonis-Remos/Giorgos-Karagounis/Stamatis-Fasoulis/             |
| Angelos Charisteas         |     3 | /Antonis-Remos/Michalis-Hatzigiannis/                            |
| Charalampos Antoniou       |     3 | /Antonis-Remos/Michalis-Hatzigiannis/                            |
| Charilaos Trikoupis        |     3 | /Antonis-Remos/Michalis-Hatzigiannis/                            |
| Dimitris Dimitriou         |     3 | /Antonis-Remos/Michalis-Hatzigiannis/                            |
| Aikaterini Athanasiou      |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Angelos-Charisteas/         |
| Fotios Vasileiou           |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Angelos-Charisteas/         |
| Leonidas King              |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Angelos-Charisteas/         |
| Theodora Triantafyllou     |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Angelos-Charisteas/         |
| Foteini Tsoukala           |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Charilaos-Trikoupis/        |
| George Papandreou          |     4 | /Antonis-Remos/Michalis-Hatzigiannis/Charilaos-Trikoupis/        |
| Dimitris Diamantidis       |     2 | /Despina-Vandi/                                                  |
| Nikos Oikonomopoulos       |     2 | /Despina-Vandi/                                                  |
| Christos Petridis          |     3 | /Despina-Vandi/Dimitris-Diamantidis/                             |
| Eleni Ioannidi             |     3 | /Despina-Vandi/Dimitris-Diamantidis/                             |
| Georgios Karaiskakis       |     3 | /Despina-Vandi/Dimitris-Diamantidis/                             |
| Grigoris Arnaoutoglou      |     3 | /Despina-Vandi/Dimitris-Diamantidis/                             |
| Nikos Aliagas              |     3 | /Despina-Vandi/Dimitris-Diamantidis/                             |
| Elisavet Chronopoulou      |     4 | /Despina-Vandi/Dimitris-Diamantidis/Georgios-Karaiskakis/        |
| Ioannis Michailidis        |     4 | /Despina-Vandi/Dimitris-Diamantidis/Georgios-Karaiskakis/        |
| Kostas Karamanlis          |     4 | /Despina-Vandi/Dimitris-Diamantidis/Georgios-Karaiskakis/        |
| Georgia Sidiropoulou       |     4 | /Despina-Vandi/Dimitris-Diamantidis/Nikos-Aliagas/               |
| Georgios Papageorgiou      |     4 | /Despina-Vandi/Dimitris-Diamantidis/Nikos-Aliagas/               |
| Pinelopi Makri             |     4 | /Despina-Vandi/Dimitris-Diamantidis/Nikos-Aliagas/               |
| Sappho Poet                |     4 | /Despina-Vandi/Dimitris-Diamantidis/Nikos-Aliagas/               |
| Vasiliki Kalliga           |     4 | /Despina-Vandi/Dimitris-Diamantidis/Nikos-Aliagas/               |
| Giorgos Xatzipavlou        |     3 | /Despina-Vandi/Nikos-Oikonomopoulos/                             |
| Ioannis Spanos             |     3 | /Despina-Vandi/Nikos-Oikonomopoulos/                             |
| Margarita Nikolaidi        |     3 | /Despina-Vandi/Nikos-Oikonomopoulos/                             |
